                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6829,                 4.0246,                 1.5004,                0.00259,                0.33333,                0.00391,                0.00226,                 1.1066,                 3.7745,                 1.3486,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.0079,                 3.6661,                 1.1252,                0.00667,                0.85714,                0.05506,                0.04255,                0.82296,                 3.4525,                 1.1421,              9.967e-05,              9.967e-05,              9.967e-05
                      3,                0.98323,                 3.2899,                 1.1006,                0.00667,                0.85714,                0.23004,                0.18621,                0.84956,                 3.2824,                  1.099,             0.00015894,             0.00015894,             0.00015894
                      4,                0.91371,                 2.6258,                 1.0094,                0.00704,                0.90476,                0.51086,                0.39364,                0.81102,                 3.0223,                 1.0116,             0.00021782,             0.00021782,             0.00021782
                      5,                0.73305,                 1.8362,                0.93306,                      1,                0.24567,                0.70682,                0.50338,                0.95643,                 2.8071,                 1.0096,              0.0002763,              0.0002763,              0.0002763
                      6,                0.82337,                 1.8802,                0.98157,                0.72731,                0.12989,                0.68715,                0.45553,                0.94641,                 2.8874,                 1.0249,             0.00033439,             0.00033439,             0.00033439
                      7,                0.76067,                 1.7355,                0.92364,                0.00741,                0.95238,                0.62078,                0.43467,                0.69728,                 2.9959,                0.96114,             0.00039208,             0.00039208,             0.00039208
                      8,                0.67922,                 1.6504,                 0.9277,                0.00741,                0.95238,                0.52317,                0.38054,                 0.6989,                 2.9804,                 0.9993,             0.00044937,             0.00044937,             0.00044937
                      9,                0.73591,                 1.5656,                0.91602,                0.01042,                0.80952,                 0.5022,                0.40331,                 0.7683,                 2.8014,                 1.0275,             0.00050627,             0.00050627,             0.00050627
                     10,                0.61677,                 1.2671,                0.88207,                0.58414,                0.40214,                0.55856,                0.48912,                 0.7443,                 2.7104,                 1.0332,             0.00056277,             0.00056277,             0.00056277
                     11,                 0.6334,                  1.355,                0.94933,                0.86501,                0.30669,                0.65862,                0.53783,                0.84088,                  2.645,                 1.0633,             0.00061888,             0.00061888,             0.00061888
                     12,                0.81966,                  1.407,                 1.0225,                0.01062,                0.80952,                0.59343,                0.48346,                0.75224,                 2.7925,                  1.037,             0.00067459,             0.00067459,             0.00067459
                     13,                0.82758,                 1.4571,                0.96862,                      1,                0.47653,                0.78071,                0.62487,                0.71962,                 2.6394,                 1.0407,              0.0007299,              0.0007299,              0.0007299
                     14,                0.79443,                 1.4853,                 1.0397,                      1,                0.52055,                0.80705,                0.61997,                0.77444,                 2.4654,                 1.0847,             0.00078482,             0.00078482,             0.00078482
